time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-04-30T13:30:45.700Z,19.413,-155.2547,5,1.7,ml,,104.399991648001,0.008983153,0.3,hv,hv60680861,2014-04-30T13:36:32.000Z,"2km SW of Volcano, Hawaii",earthquake
2014-04-30T13:28:08.000Z,64.3363,-150.6658,0,1.6,ml,,,,0.59,ak,ak11246540,2014-04-30T13:33:52.677Z,"74km S of Manley Hot Springs, Alaska",earthquake
2014-04-30T13:16:31.380Z,34.5999985,-116.6158371,5.98,2.64,ml,52,36,0.0443,0.16,ci,ci37218752,2014-04-30T13:43:47.913Z,"36km ENE of Lucerne Valley, California",earthquake
2014-04-30T12:53:05.400Z,37.6483,-118.948,8.3,1.2,Md,15,93.6,0.01796631,0.02,nc,nc72212686,2014-04-30T13:09:07.287Z,"2km E of Mammoth Lakes, California",earthquake
2014-04-30T12:37:45.400Z,37.6485,-118.952,7.6,1,Md,15,90,0.01796631,0.02,nc,nc72212666,2014-04-30T13:05:11.894Z,"1km E of Mammoth Lakes, California",earthquake
2014-04-30T12:34:03.200Z,37.6435,-118.952,7.5,2,Md,24,50.4,0.02694946,0.04,nc,nc72212661,2014-04-30T13:42:05.880Z,"1km ESE of Mammoth Lakes, California",earthquake
2014-04-30T12:25:37.000Z,61.5991,-151.7069,98.3,2.1,ml,,,,0.61,ak,ak11246531,2014-04-30T12:30:48.185Z,"89km W of Willow, Alaska",earthquake
2014-04-30T12:09:13.000Z,62.5929,-148.9158,0,1.7,ml,,,,0.98,ak,ak11246526,2014-04-30T12:17:56.134Z,"68km NE of Y, Alaska",earthquake
2014-04-30T12:06:21.610Z,36.190834,-120.4049988,9.55,1.67,md,4,124,0.07703,0,nc,nc72212641,2014-04-30T13:42:05.878Z,"6km NW of Coalinga, California",earthquake
2014-04-30T11:59:50.000Z,59.7418,-142.5364,18.7,1.9,ml,,,,1.37,ak,ak11246524,2014-04-30T12:10:52.761Z,"36km S of Cape Yakataga, Alaska",earthquake
2014-04-30T11:44:38.100Z,38.8121681,-122.8186646,3.03,1.34,md,25,57,0.00885,0.03,nc,nc72212571,2014-04-30T13:08:02.187Z,"6km NW of The Geysers, California",earthquake
2014-04-30T11:44:22.000Z,62.0467,-150.6401,13.3,1.4,ml,,,,0.34,ak,ak11246501,2014-04-30T11:48:50.789Z,"41km SW of Talkeetna, Alaska",earthquake
2014-04-30T11:42:10.000Z,59.915,-141.2871,0,1.7,ml,,,,0.92,ak,ak11246500,2014-04-30T11:47:03.346Z,"66km ESE of Cape Yakataga, Alaska",earthquake
2014-04-30T11:38:29.440Z,37.6413345,-118.946167,7.98,0.67,md,10,98,0.02518,0.01,nc,nc72212566,2014-04-30T12:41:04.336Z,"2km ESE of Mammoth Lakes, California",earthquake
2014-04-30T11:28:14.000Z,57.8357,-157.0094,100,2.7,ml,,,,1.57,ak,ak11246494,2014-04-30T11:35:59.328Z,"97km SSW of King Salmon, Alaska",earthquake
2014-04-30T11:28:10.000Z,61.0656,-147.1037,0.1,1.7,ml,,,,1.2,ak,ak11246495,2014-04-30T11:31:40.651Z,"41km W of Valdez, Alaska",earthquake
2014-04-30T11:26:06.000Z,61.1812,-146.7015,30.5,1.4,ml,,,,0.53,ak,ak11246490,2014-04-30T11:29:43.246Z,"19km WNW of Valdez, Alaska",earthquake
2014-04-30T11:23:05.500Z,37.4617,-120.656,23.3,2.4,Md,8,133.2,0.55695548,0.36,nc,nc72212516,2014-04-30T11:54:04.322Z,"8km NNW of Winton, California",earthquake
2014-04-30T11:22:37.000Z,61.5323,-146.3963,37.4,1.6,ml,,,,0.97,ak,ak11246486,2014-04-30T11:27:55.747Z,"44km N of Valdez, Alaska",earthquake
2014-04-30T11:18:11.000Z,61.2874,-147.6792,16,1.2,ml,,,,0.17,ak,ak11246487,2014-04-30T11:24:25.161Z,"73km WNW of Valdez, Alaska",earthquake
2014-04-30T11:10:35.000Z,61.4642,-145.0754,4.2,2,ml,,,,1.11,ak,ak11246480,2014-04-30T11:18:03.979Z,"34km W of Chitina, Alaska",earthquake
2014-04-30T11:08:38.000Z,59.8249,-153.5969,100,3.1,ml,,,,0.82,ak,ak11246471,2014-04-30T11:21:02.403Z,"74km E of Old Iliamna, Alaska",earthquake
2014-04-30T10:45:04.000Z,65.7649,-151.1059,0,1.7,ml,,,,0.7,ak,ak11246468,2014-04-30T10:52:50.512Z,"80km NE of Tanana, Alaska",earthquake
2014-04-30T10:43:40.300Z,38.8155,-122.8142,3.9,0.5,Md,9,129.6,0.00898315,0.03,nc,nc72212491,2014-04-30T11:27:06.390Z,"6km NW of The Geysers, California",earthquake
2014-04-30T10:38:17.500Z,38.8165,-122.8172,2.9,0.5,Md,10,97.2,0.00898315,0.02,nc,nc72212486,2014-04-30T11:27:06.389Z,"6km NW of The Geysers, California",earthquake
2014-04-30T10:29:19.000Z,61.5479,-146.3289,20.5,1.4,ml,,,,0.86,ak,ak11246465,2014-04-30T10:33:36.058Z,"46km N of Valdez, Alaska",earthquake
2014-04-30T10:28:20.000Z,59.2373,-156.2382,100,3.2,ml,,,,2.34,ak,ak11246463,2014-04-30T10:38:04.761Z,"65km NNE of King Salmon, Alaska",earthquake
2014-04-30T10:17:39.300Z,37.6507,-118.9442,6,1.4,Md,13,100.8,0.01796631,0.04,nc,nc72212471,2014-04-30T10:54:02.904Z,"2km E of Mammoth Lakes, California",earthquake
2014-04-30T10:14:50.500Z,38.836,-122.7967,2.5,0.8,Md,15,68.4,0.01796631,0.02,nc,nc72212466,2014-04-30T10:54:02.902Z,"6km WNW of Cobb, California",earthquake
2014-04-30T10:07:48.900Z,36.3985,-120.966,0.6,2,Md,25,75.6,0.05389892,0.09,nc,nc72212461,2014-04-30T10:44:01.834Z,"25km NE of King City, California",earthquake
2014-04-30T09:54:31.700Z,39.6278,-122.9567,5,1.1,Md,6,169.2,0.41322503,0.14,nc,nc72212451,2014-04-30T13:28:04.312Z,"30km SE of Covelo, California",earthquake
2014-04-30T09:52:16.680Z,7.39,-82.6971,27.09,5,mb,,86,2.948,1.26,us,usb000q52m,2014-04-30T10:05:37.030Z,"73km SSE of Punta de Burica, Panama",earthquake
2014-04-30T09:46:21.910Z,6.7984,-73.0539,155.41,4.3,mb,,70,0.865,1.17,us,usb000q52g,2014-04-30T10:21:38.000Z,"12km NNW of Aratoca, Colombia",earthquake
2014-04-30T09:43:56.000Z,61.8566,-151.6404,91.5,1.9,ml,,,,0.79,ak,ak11246436,2014-04-30T09:52:00.556Z,"85km W of Willow, Alaska",earthquake
2014-04-30T09:41:37.000Z,62.5251,-151.0238,75.1,1.3,ml,,,,0.8,ak,ak11246433,2014-04-30T09:46:07.233Z,"52km WNW of Talkeetna, Alaska",earthquake
2014-04-30T09:33:15.000Z,60.6344,-143.2323,28.2,1.7,ml,,,,0.65,ak,ak11246430,2014-04-30T09:40:48.402Z,"77km NW of Cape Yakataga, Alaska",earthquake
2014-04-30T09:31:30.000Z,63.8251,-148.4182,100,1.4,ml,,,,0.31,ak,ak11246416,2014-04-30T09:35:31.321Z,"27km E of Healy, Alaska",earthquake
2014-04-30T09:31:29.000Z,58.8932,-150.3588,19,3,ml,,,,0.6,ak,ak11246417,2014-04-30T09:41:16.618Z,"107km SE of Homer, Alaska",earthquake
